Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,AST%,AST/TO,3PM,+/-,OFFRTG,DEFRTG,DEFWS,eFG%,TS%,USG%,PIE,MVP,Prior MVPs,DPOY
1996,90.1,Michael Jordan,CHI,1,82,82,69,29.6,5.9,4.3,1.7,0.5,2.0,20.8,2.12,1.4,10.0,113.9,100.1,156,51.6,56.7,32.8,19.0,0,4,0
1996,90.1,Karl Malone,UTA,1,82,82,64,27.4,9.9,4.5,1.4,0.6,2.8,23.4,1.58,0.0,9.4,115.0,101.3,0.14,55.0,60.0,32.1,21.2,1,0,0
1996,90.1,Glen Rice,CHH,5,79,82,52,26.8,4.0,2.0,0.9,0.3,2.2,8.8,0.9,2.6,2.2,110.0,107.1,0.08199999999999999,54.6,60.5,26.8,12.5,0,0,0
1996,90.1,Shaquille O'Neal,LAL,4,51,82,38,26.2,12.5,3.1,0.9,2.9,2.9,15.9,1.09,0.0,5.2,109.2,101.7,138,55.7,55.6,31.1,18.4,0,0,0
1996,90.1,Mitch Richmond,SAC,9,81,82,34,25.9,3.9,4.2,1.5,0.3,2.9,20.9,1.43,2.5,-1.2,103.3,105.6,91,51.9,57.8,29.4,15.1,0,0,0
1996,90.1,Latrell Sprewell,GSW,10,80,82,29,24.2,4.6,6.3,1.7,0.6,4.0,27.0,1.57,1.8,-2.7,106.0,109.5,51,50.0,57.0,26.8,13.7,0,0,0
1996,90.1,Allen Iverson,PHI,14,76,82,20,23.5,4.1,7.5,2.1,0.3,4.4,32.0,1.68,2.0,-5.8,104.3,111.4,0.026000000000000002,46.7,51.3,28.1,10.7,0,0,0
1996,90.1,Hakeem Olajuwon,HOU,2,78,82,54,23.2,9.2,3.0,1.5,2.2,3.6,15.8,0.84,0.1,4.9,108.2,101.2,138,51.2,55.8,30.6,15.7,0,1,0
1996,90.1,Patrick Ewing,NYK,3,78,82,54,22.4,10.7,2.0,0.9,2.4,3.4,10.6,0.58,0.0,4.0,103.5,98.0,0.17800000000000002,48.9,54.8,29.4,17.4,0,0,0
1996,90.1,LaPhonso Ellis,DEN,12,55,82,13,21.9,7.0,2.4,0.8,0.7,2.1,12.2,1.12,1.7,-3.5,106.5,111.2,25,48.6,52.9,27.8,11.2,0,0,0
1996,90.1,Kendall Gill,NJN,13,82,82,26,21.8,6.1,4.0,1.9,0.6,2.7,18.2,1.5,0.9,-2.2,102.6,105.9,92,46.9,53.0,24.9,12.6,0,0,0
1996,90.1,Gary Payton,SEA,2,82,82,57,21.8,4.6,7.1,2.4,0.2,2.6,33.0,2.71,1.5,7.6,110.1,99.8,166,51.7,54.5,26.0,15.4,0,0,0
1996,90.1,Reggie Miller,IND,10,81,82,38,21.6,3.5,3.4,0.9,0.3,2.0,17.0,1.64,2.8,1.2,104.6,103.1,0.11800000000000001,53.6,60.3,24.5,14.5,0,0,0
1996,90.1,Grant Hill,DET,5,80,82,52,21.4,9.0,7.3,1.8,0.6,3.2,35.6,2.25,0.1,5.1,109.2,102.3,135,50.0,55.6,28.0,19.5,0,0,0
1996,90.1,Glenn Robinson,MIL,11,80,82,33,21.1,6.3,3.1,1.3,0.9,3.4,14.6,0.92,0.8,-1.8,104.2,106.7,81,48.7,52.8,27.3,11.8,0,0,0
1996,90.1,Vin Baker,MIL,11,78,82,31,21.0,10.3,2.7,1.1,1.4,3.1,12.0,0.86,0.2,-0.8,105.8,106.6,85,51.1,55.3,25.3,13.4,0,0,0
1996,90.1,Jerry Stackhouse,PHI,14,81,82,22,20.7,4.2,3.1,1.1,0.8,3.9,13.4,0.8,1.3,-5.4,103.0,110.0,42,44.6,52.4,25.1,7.7,0,0,0
