Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,AST%,AST/TO,3PM,+/-,OFFRTG,DEFRTG,DEFWS,eFG%,TS%,USG%,PIE,Prior MVPs
2020,99.2,Stephen Curry,GSW,8,63,72,37,32.0,5.5,5.8,1.2,0.1,3.4,28.3,1.7,5.3,3.9,114.2,109.6,0.11199999999999999,60.5,65.5,33.1,18.1,2
2020,99.2,Bradley Beal,WAS,8,60,72,32,31.3,4.7,4.4,1.2,0.4,3.1,20.2,1.42,2.2,-0.1,114.4,114.8,61,53.2,59.3,33.1,14.5,0
2020,99.2,Damian Lillard,POR,5,67,72,39,28.8,4.2,7.5,0.9,0.3,3.0,33.4,2.49,4.1,3.0,119.6,115.6,0.054000000000000006,55.4,62.3,30.6,15.8,0
2020,99.2,Joel Embiid,PHI,1,51,72,39,28.5,10.6,2.8,1.0,1.4,3.1,15.6,0.91,1.1,7.9,117.8,105.8,135,54.5,63.6,35.2,20.3,0
2020,99.2,Giannis Antetokounmpo,MIL,3,61,72,40,28.1,11.0,5.9,1.2,1.2,3.4,28.2,1.72,1.1,6.7,117.1,107.3,0.13,60.0,63.3,32.0,19.6,2
2020,99.2,Luka Doncic,DAL,5,66,72,40,27.7,8.0,8.6,1.0,0.5,4.3,42.5,2.02,2.9,2.5,116.6,112.7,81,55.0,58.7,35.0,17.9,0
2020,99.2,Zach LaVine,CHI,11,58,72,26,27.4,5.0,4.9,0.8,0.5,3.5,22.5,1.39,3.4,-0.2,112.4,113.1,78,59.6,63.4,30.2,14.0,0
2020,99.2,Zion Williamson,NOP,11,61,72,29,27.0,7.2,3.7,0.9,0.6,2.7,18.8,1.35,0.2,1.5,113.9,111.7,0.08900000000000001,61.6,64.9,28.7,16.1,0
2020,99.2,Kevin Durant,BKN,2,35,72,23,26.9,7.1,5.6,0.7,1.3,3.4,25.2,1.63,2.4,8.0,121.7,111.1,95,60.8,66.6,30.3,17.2,1
2020,99.2,Kyrie Irving,BKN,2,54,72,36,26.9,4.8,6.0,1.4,0.7,2.4,26.9,2.49,2.8,4.2,119.4,113.8,0.07,57.6,61.4,29.7,14.9,0
2020,99.2,Jayson Tatum,BOS,7,64,72,34,26.4,7.4,4.3,1.2,0.5,2.7,19.6,1.61,2.9,2.5,114.8,111.8,92,53.0,57.6,29.8,15.2,0
2020,99.2,Donovan Mitchell,UTA,1,53,72,39,26.4,4.4,5.2,1.0,0.3,2.8,26.6,1.88,3.4,5.4,117.1,109.2,0.11199999999999999,52.0,56.9,32.7,13.8,0
2020,99.2,Nikola Jokic,DEN,3,72,72,47,26.4,10.8,8.3,1.3,0.7,3.1,37.7,2.7,1.3,5.3,120.2,112.6,0.08199999999999999,60.2,64.7,29.3,20.1,0
2020,99.2,Devin Booker,PHX,2,67,72,48,25.6,4.2,4.3,0.8,0.2,3.1,20.0,1.4,1.9,4.9,118.6,111.4,92,53.3,58.7,31.9,12.5,0
2020,99.2,Trae Young,ATL,4,63,72,36,25.3,3.9,9.4,0.8,0.2,4.1,42.6,2.28,2.2,4.2,118.2,113.0,76,49.9,58.9,32.0,15.0,0
2020,99.2,De'Aaron Fox,SAC,11,58,72,24,25.2,3.5,7.2,1.5,0.5,3.0,32.6,2.4,1.8,-3.4,113.5,118.0,0.027000000000000003,52.3,56.5,30.4,12.4,0
2020,99.2,LeBron James,LAL,5,45,72,30,25.0,7.7,7.8,1.1,0.6,3.7,39.4,2.08,2.3,6.4,112.4,103.2,172,57.6,60.2,31.0,19.1,4
2020,99.2,Kawhi Leonard,LAC,3,52,72,36,24.8,6.5,5.2,1.6,0.4,2.0,23.8,2.56,1.9,8.6,121.4,109.2,113,56.8,62.2,28.2,17.0,0
