Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,MVP,Prior MVPs,DPOY
1996,90.1,Michael Jordan,CHI,1,82,82,69,29.6,5.9,4.3,1.7,0.5,2.0,56.7,1.4,156,32.8,19.0,0,4,0
1996,90.1,Karl Malone,UTA,1,82,82,64,27.4,9.9,4.5,1.4,0.6,2.8,60.0,0.0,0.14,32.1,21.2,1,0,0
1996,90.1,Glen Rice,CHH,5,79,82,52,26.8,4.0,2.0,0.9,0.3,2.2,60.5,2.6,0.08199999999999999,26.8,12.5,0,0,0
1996,90.1,Shaquille O'Neal,LAL,4,51,82,38,26.2,12.5,3.1,0.9,2.9,2.9,55.6,0.0,138,31.1,18.4,0,0,0
1996,90.1,Mitch Richmond,SAC,9,81,82,34,25.9,3.9,4.2,1.5,0.3,2.9,57.8,2.5,91,29.4,15.1,0,0,0
1996,90.1,Latrell Sprewell,GSW,10,80,82,29,24.2,4.6,6.3,1.7,0.6,4.0,57.0,1.8,51,26.8,13.7,0,0,0
1996,90.1,Allen Iverson,PHI,14,76,82,20,23.5,4.1,7.5,2.1,0.3,4.4,51.3,2.0,0.026000000000000002,28.1,10.7,0,0,0
1996,90.1,Hakeem Olajuwon,HOU,2,78,82,54,23.2,9.2,3.0,1.5,2.2,3.6,55.8,0.1,138,30.6,15.7,0,1,0
1996,90.1,Patrick Ewing,NYK,3,78,82,54,22.4,10.7,2.0,0.9,2.4,3.4,54.8,0.0,0.17800000000000002,29.4,17.4,0,0,0
1996,90.1,LaPhonso Ellis,DEN,12,55,82,13,21.9,7.0,2.4,0.8,0.7,2.1,52.9,1.7,25,27.8,11.2,0,0,0
1996,90.1,Kendall Gill,NJN,13,82,82,26,21.8,6.1,4.0,1.9,0.6,2.7,53.0,0.9,92,24.9,12.6,0,0,0
1996,90.1,Gary Payton,SEA,2,82,82,57,21.8,4.6,7.1,2.4,0.2,2.6,54.5,1.5,166,26.0,15.4,0,0,0
1996,90.1,Reggie Miller,IND,10,81,82,38,21.6,3.5,3.4,0.9,0.3,2.0,60.3,2.8,0.11800000000000001,24.5,14.5,0,0,0
1996,90.1,Grant Hill,DET,5,80,82,52,21.4,9.0,7.3,1.8,0.6,3.2,55.6,0.1,135,28.0,19.5,0,0,0
1996,90.1,Glenn Robinson,MIL,11,80,82,33,21.1,6.3,3.1,1.3,0.9,3.4,52.8,0.8,81,27.3,11.8,0,0,0
1996,90.1,Vin Baker,MIL,11,78,82,31,21.0,10.3,2.7,1.1,1.4,3.1,55.3,0.2,85,25.3,13.4,0,0,0
1996,90.1,Jerry Stackhouse,PHI,14,81,82,22,20.7,4.2,3.1,1.1,0.8,3.9,52.4,1.3,42,25.1,7.7,0,0,0
1996,90.1,Tom Gugliotta,MIN,6,81,82,40,20.6,8.7,4.1,1.6,1.1,3.6,52.6,0.3,94,27.3,14.0,0,0,0
1996,90.1,Anfernee Hardaway,ORL,7,59,82,38,20.5,4.5,5.6,1.6,0.6,2.5,55.4,1.4,129,25.0,14.3,0,0,0
