Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,Prior MVPs
2020,99.2,Stephen Curry,GSW,8,63,72,37,32.0,5.5,5.8,1.2,0.1,3.4,65.5,5.3,0.11199999999999999,33.1,18.1,2
2020,99.2,Bradley Beal,WAS,8,60,72,32,31.3,4.7,4.4,1.2,0.4,3.1,59.3,2.2,61,33.1,14.5,0
2020,99.2,Damian Lillard,POR,5,67,72,39,28.8,4.2,7.5,0.9,0.3,3.0,62.3,4.1,0.054000000000000006,30.6,15.8,0
2020,99.2,Joel Embiid,PHI,1,51,72,39,28.5,10.6,2.8,1.0,1.4,3.1,63.6,1.1,135,35.2,20.3,0
2020,99.2,Giannis Antetokounmpo,MIL,3,61,72,40,28.1,11.0,5.9,1.2,1.2,3.4,63.3,1.1,0.13,32.0,19.6,2
2020,99.2,Luka Doncic,DAL,5,66,72,40,27.7,8.0,8.6,1.0,0.5,4.3,58.7,2.9,81,35.0,17.9,0
2020,99.2,Zach LaVine,CHI,11,58,72,26,27.4,5.0,4.9,0.8,0.5,3.5,63.4,3.4,78,30.2,14.0,0
2020,99.2,Zion Williamson,NOP,11,61,72,29,27.0,7.2,3.7,0.9,0.6,2.7,64.9,0.2,0.08900000000000001,28.7,16.1,0
2020,99.2,Kevin Durant,BKN,2,35,72,23,26.9,7.1,5.6,0.7,1.3,3.4,66.6,2.4,95,30.3,17.2,1
2020,99.2,Kyrie Irving,BKN,2,54,72,36,26.9,4.8,6.0,1.4,0.7,2.4,61.4,2.8,0.07,29.7,14.9,0
2020,99.2,Jayson Tatum,BOS,7,64,72,34,26.4,7.4,4.3,1.2,0.5,2.7,57.6,2.9,92,29.8,15.2,0
2020,99.2,Donovan Mitchell,UTA,1,53,72,39,26.4,4.4,5.2,1.0,0.3,2.8,56.9,3.4,0.11199999999999999,32.7,13.8,0
2020,99.2,Nikola Jokic,DEN,3,72,72,47,26.4,10.8,8.3,1.3,0.7,3.1,64.7,1.3,0.08199999999999999,29.3,20.1,0
2020,99.2,Devin Booker,PHX,2,67,72,48,25.6,4.2,4.3,0.8,0.2,3.1,58.7,1.9,92,31.9,12.5,0
2020,99.2,Trae Young,ATL,4,63,72,36,25.3,3.9,9.4,0.8,0.2,4.1,58.9,2.2,76,32.0,15.0,0
2020,99.2,De'Aaron Fox,SAC,11,58,72,24,25.2,3.5,7.2,1.5,0.5,3.0,56.5,1.8,0.027000000000000003,30.4,12.4,0
2020,99.2,LeBron James,LAL,5,45,72,30,25.0,7.7,7.8,1.1,0.6,3.7,60.2,2.3,172,31.0,19.1,4
2020,99.2,Kawhi Leonard,LAC,3,52,72,36,24.8,6.5,5.2,1.6,0.4,2.0,62.2,1.9,113,28.2,17.0,0
2020,99.2,Karl-Anthony Towns,MIN,13,50,72,19,24.8,10.6,4.5,0.8,1.1,3.2,61.2,2.4,0.057999999999999996,28.6,15.5,0
2020,99.2,Jaylen Brown,BOS,7,58,72,30,24.7,6.0,3.4,1.2,0.6,2.7,58.6,2.8,0.09,29.0,12.9,0
2020,99.2,James Harden,BKN,2,44,72,31,24.6,7.9,10.8,1.2,0.8,4.0,61.8,2.8,67,28.3,17.4,1
2020,99.2,Collin Sexton,CLE,13,60,72,18,24.3,3.1,4.4,1.0,0.2,2.8,57.3,1.6,69,28.6,11.5,0
2020,99.2,Julius Randle,NYK,4,71,72,40,24.1,10.2,6.0,0.9,0.3,3.4,56.7,2.3,153,28.5,15.8,0
2020,99.2,Brandon Ingram,NOP,11,61,72,29,23.8,4.9,4.9,0.7,0.6,2.5,58.4,2.3,64,27.9,12.8,0
2020,99.2,Shai Gilgeous-Alexander,OKC,14,35,72,16,23.7,4.7,5.9,0.8,0.7,3.0,62.3,2.0,55,28.3,14.6,0
2020,99.2,Nikola Vucevic,CHI,11,70,72,26,23.4,11.7,3.8,0.9,0.7,1.8,56.0,2.5,69,29.2,16.8,0
2020,99.2,Paul George,LAC,3,54,72,38,23.3,6.6,5.2,1.1,0.4,3.3,59.8,3.2,134,29.6,14.5,0
2020,99.2,CJ McCollum,POR,5,47,72,28,23.1,3.9,4.7,0.9,0.4,1.4,57.7,3.6,78,26.5,12.3,0
2020,99.2,Jerami Grant,DET,15,54,72,15,22.3,4.6,2.8,0.6,1.1,2.0,55.6,2.1,91,27.8,11.4,0
2020,99.2,Russell Westbrook,WAS,8,65,72,30,22.2,11.5,11.7,1.4,0.4,4.8,50.9,1.3,111,29.5,16.4,1
2020,99.2,Anthony Davis,LAL,5,36,72,23,21.8,7.9,3.1,1.3,1.6,2.1,55.6,0.7,125,28.7,15.3,0
2020,99.2,DeMar DeRozan,SAS,10,61,72,27,21.6,4.2,6.9,0.9,0.2,2.0,59.1,0.3,0.05,25.5,13.9,0
2020,99.2,Jimmy Butler,MIA,6,52,72,33,21.5,6.9,7.1,2.1,0.3,2.1,60.7,0.5,135,25.9,18.4,0
2020,99.2,Pascal Siakam,TOR,12,56,72,21,21.4,7.2,4.5,1.1,0.7,2.3,54.7,1.3,96,26.1,11.9,0
2020,99.2,Jamal Murray,DEN,3,48,72,31,21.2,4.0,4.8,1.3,0.3,2.3,59.2,2.7,0.10400000000000001,24.4,11.7,0
2020,99.2,Malcolm Brogdon,IND,8,56,72,27,21.2,5.3,5.9,0.9,0.3,2.1,56.1,2.6,95,25.7,12.8,0
2020,99.2,Christian Wood,HOU,15,41,72,12,21.0,9.6,1.7,0.8,1.2,2.0,59.1,1.9,76,25.5,13.9,0
